"result_analytical_method_id","activity_start_date","activity_type","Results Collected","Planned Number of Results","Difference %"
"200.7",2021-05-11,"Field Msr/Obs",39,66,-25.7142857142857
"200.7",2021-05-11,"Quality Control Field Replicate Msr/Obs",3,6,-33.3333333333333
"200.7",2021-07-27,"Field Msr/Obs",66,66,0
"200.7",2021-07-27,"Quality Control Field Replicate Msr/Obs",6,6,0
"200.8",2021-05-11,"Field Msr/Obs",132,72,29.4117647058824
"200.8",2021-05-11,"Quality Control Field Replicate Msr/Obs",6,6,0
"200.8",2021-07-27,"Field Msr/Obs",324,72,63.6363636363636
"200.8",2021-07-27,"Quality Control Field Replicate Msr/Obs",27,6,63.6363636363636
"2540-D",2021-05-11,"Field Msr/Obs",22,22,0
"2540-D",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,2,0
"2540-D",2021-07-27,"Field Msr/Obs",22,22,0
"2540-D",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,2,0
"4500-NO3(F)",2021-05-11,"Field Msr/Obs",22,22,0
"4500-NO3(F)",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,2,0
"4500-NO3(F)",2021-07-27,"Field Msr/Obs",22,22,0
"4500-NO3(F)",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,2,0
"4500-P-E",2021-05-11,"Field Msr/Obs",22,22,0
"4500-P-E",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,2,0
"4500-P-E",2021-07-27,"Field Msr/Obs",22,22,0
"4500-P-E",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,2,0
"8260D",2021-07-27,"Field Msr/Obs",24,24,0
"8260D",2021-07-27,"Quality Control Sample-Trip Blank",24,24,0
"9222D",2021-05-11,"Field Msr/Obs",22,22,0
"9222D",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,2,0
"9222D",2021-07-27,"Field Msr/Obs",22,22,0
"9222D",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,2,0
