"","sample_id"
"1","RM 0 - No Name Creek"
"2","RM 0 - No Name Creek - DUP"
"3","RM 0 - No Name Creek DUP"
"4","RM 1.5 - Kenai City Dock"
"5","RM 10 - Beaver Creek"
"6","RM 10.1 - Kenai River"
"7","RM 12.5 - Pillars"
"8","RM 18 - Poacher's Cove"
"9","RM 19 - Slikok Creek"
"10","RM 21 - Soldotna Bridge"
"11","RM 22 - Soldotna Creek"
"12","RM 23 - Swiftwater Park"
"13","RM 30 - Funny River"
"14","RM 31 - Morgan's Landing"
"15","RM 31 - Morgan's Landing DUP"
"16","RM 36 - Moose River"
"17","RM 40 - Bing's Landing"
"18","RM 43 - Upstream of Dow Isalnd"
"19","RM 44 - Mouth of Killey River"
"20","RM 50 - Skilak Lake Outflow"
"21","RM 6.5 - Cunningham Park"
"22","RM 70 - Jim's Landing"
"23","RM 74 - Russian River"
"24","RM 79.5 - Juneau Creek"
"25","RM 82 - Kenai Lake Bridge"
"26","Trip Blank 1"
"27","Trip Blank 2"
"28","Trip Blank 3"
"29","Trip Blank 4"
